formation_date,effective_date,signal_date,variant,lexicon,lambda,direction,ticker,sector,base_weight,ticker_z,tilt_multiplier,pre_normalisation_weight,target_weight,signal_available,clipped_to_zero,fallback_used
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,AMD,Tech,0.0,,1.0,0.0,0.0,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,AMGN,Healthcare,0.0156056079016828,,1.0,0.0156056079016828,0.0156056079016828,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,AMT,RealEstate,0.0,,1.0,0.0,0.0,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,BA,Industrials,0.0,,1.0,0.0,0.0,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,CAT,Industrials,0.0,,1.0,0.0,0.0,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,CCI,RealEstate,0.0,,1.0,0.0,0.0,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,CMCSA,Comm,0.0,,1.0,0.0,0.0,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,COP,Energy,0.0,,1.0,0.0,0.0,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,CVX,Energy,0.0119871567644702,,1.0,0.0119871567644702,0.0119871567644702,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,D,Utilities,0.0,,1.0,0.0,0.0,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,DD,Materials,0.0,,1.0,0.0,0.0,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,DIS,Consumer,0.0,,1.0,0.0,0.0,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,DOW,Materials,0.0,,1.0,0.0,0.0,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,DUK,Utilities,0.0,,1.0,0.0,0.0,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,EA,Comm,0.1152156909713553,,1.0,0.1152156909713553,0.1152156909713553,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,GE,Industrials,0.0,,1.0,0.0,0.0,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,GILD,Healthcare,0.0,,1.0,0.0,0.0,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,GS,Financials,0.0,,1.0,0.0,0.0,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,INTC,Tech,0.0,,1.0,0.0,0.0,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,KO,Consumer,0.2329936574415961,,1.0,0.2329936574415961,0.2329936574415961,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,MMM,Industrials,0.0,,1.0,0.0,0.0,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,MRK,Healthcare,0.1597897419160972,,1.0,0.1597897419160972,0.1597897419160972,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,MS,Financials,0.0,,1.0,0.0,0.0,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,NEE,Utilities,0.0,,1.0,0.0,0.0,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,NEM,Materials,0.0,,1.0,0.0,0.0,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,NKE,Consumer,0.0,,1.0,0.0,0.0,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,NUE,Materials,0.0,,1.0,0.0,0.0,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,NVDA,Tech,0.0,,1.0,0.0,0.0,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,O,RealEstate,0.1223155510239102,,1.0,0.1223155510239102,0.1223155510239102,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,OXY,Energy,0.0131526081157773,,1.0,0.0131526081157773,0.0131526081157773,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,PLD,RealEstate,0.0,,1.0,0.0,0.0,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,PSA,RealEstate,0.0,,1.0,0.0,0.0,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,QCOM,Tech,0.0,,1.0,0.0,0.0,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,SBUX,Consumer,0.0,,1.0,0.0,0.0,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,SHW,Materials,0.0,,1.0,0.0,0.0,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,SLB,Energy,0.0,,1.0,0.0,0.0,False,False,False
